type,dust,wr,games,duration,card_0,card_1,card_2,card_3,card_4,card_5,card_6,card_7,card_8,card_9,card_10,card_11,card_12,card_13,card_14,card_15,card_16,card_17,card_18,card_19,card_20,card_21,card_22,card_23,card_24,card_25,card_26,card_27,card_28,card_29,wins,hero
Mech Paladin,7080,0.584,3300,6.0,Blessing of Wisdom,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,1927.1999999999998,Paladin
Mech Paladin,6680,0.584,4300,5.9,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Explodinator,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,2511.2,Paladin
Highlander Hunter,15940,0.584,10000,6.7,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Freezing Trap,Phase Stalker,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Escaped Manasaber,Evasive Feywing,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,5840.0,Hunter
Face Hunter,1960,0.583,1900,5.7,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,,,1107.6999999999998,Hunter
Highlander Hunter,16760,0.583,2500,7.1,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Houndmaster,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,1457.5,Hunter
Mech Paladin,7040,0.5820000000000001,87000,5.8,Blessing of Wisdom,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,50634.00000000001,Paladin
Highlander Hunter,17120,0.5820000000000001,2600,7.0,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Houndmaster,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,1513.2000000000003,Hunter
Mech Paladin,6680,0.5820000000000001,3400,6.0,Blessing of Wisdom,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Explodinator,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,1978.8000000000002,Paladin
Highlander Hunter,16140,0.581,4300,7.2,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Faerie Dragon,Freezing Trap,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Eaglehorn Bow,Kill Command,Primordial Explorer,SN1P-SN4P,Unleash the Hounds,Ursatron,Dragonbane,Lifedrinker,Troll Batrider,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,2498.2999999999997,Hunter
Highlander Hunter,17120,0.581,8500,7.1,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Houndmaster,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,4938.5,Hunter
Face Hunter,1880,0.581,3300,5.5,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Toxic Reinforcements,Tracking,Explosive Trap,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Wolfrider,Lifedrinker,,,,,,,,,,,,,,,,1917.3,Hunter
Highlander Hunter,17020,0.581,1100,6.3,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,639.0999999999999,Hunter
Token Druid,3240,0.58,1800,6.5,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Swipe,Aeroponics,Anubisath Defender,Force of Nature,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,1044.0,Druid
Embiggen Druid,8120,0.58,20000,6.8,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,King Mukla,Scalerider,SN1P-SN4P,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,11600.0,Druid
Mech Paladin,7100,0.58,4300,5.5,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Shieldbreaker,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,2494.0,Paladin
Quest Resurrect Priest,11900,0.58,1200,10.5,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Vivid Nightmare,Archmage Vargoth,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,696.0,Priest
Mech Paladin,6940,0.579,10000,5.9,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Righteous Cause,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Explodinator,Replicating Menace,Faceless Corruptor,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,5790.0,Paladin
Mech Paladin,7000,0.579,10000,5.6,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Shotbot,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,5790.0,Paladin
Token Druid,3640,0.579,12000,6.4,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Wispering Woods,Aeroponics,Anubisath Defender,Force of Nature,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,6947.999999999999,Druid
Highlander Hunter,16400,0.579,2800,6.6,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,1621.1999999999998,Hunter
Quest Resurrect Priest,11900,0.579,1400,10.6,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,810.5999999999999,Priest
Highlander Hunter,16500,0.579,6200,7.1,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Faerie Dragon,Freezing Trap,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Lifedrinker,Wing Blast,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,3589.7999999999997,Hunter
Highlander Hunter,16800,0.578,6700,7.1,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Spellbreaker,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,3872.6,Hunter
Quest Resurrect Priest,10360,0.578,1500,10.6,Forbidden Words,Activate the Obelisk,Penance,Shadow Word: Pain,Breath of the Infinite,Shadow Word: Death,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,866.9999999999999,Priest
Quest Resurrect Priest,11540,0.578,4000,10.5,Forbidden Words,Activate the Obelisk,Injured Tol'vir,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Grave Rune,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,2312.0,Priest
Quest Resurrect Priest,9900,0.578,2800,10.8,Forbidden Words,Activate the Obelisk,Penance,Shadow Word: Pain,Breath of the Infinite,Shadow Word: Death,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mosh'Ogg Enforcer,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,1618.3999999999999,Priest
Quest Resurrect Priest,11600,0.578,7400,9.9,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mosh'Ogg Enforcer,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,4277.2,Priest
Face Hunter,1920,0.578,14000,5.7,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Hunter's Mark,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Ironbeak Owl,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,8091.999999999999,Hunter
Token Druid,4760,0.578,9000,6.5,Acornbearer,Treenforcements,Dendrologist,Rising Winds,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,5202.0,Druid
Quest Resurrect Priest,11860,0.578,3500,10.4,Forbidden Words,Activate the Obelisk,Penance,Shadow Word: Pain,Breath of the Infinite,Shadow Word: Death,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Archivist Elysiana,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,2022.9999999999998,Priest
Face Hunter,4360,0.578,1300,5.7,Dwarven Sharpshooter,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Knife Juggler,Kobold Sandtrooper,Phase Stalker,Snake Trap,Animal Companion,Eaglehorn Bow,Ironbeak Owl,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,751.4,Hunter
Quest Resurrect Priest,11860,0.578,2200,10.4,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,1271.6,Priest
Embiggen Druid,6620,0.578,19000,6.9,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Bad Luck Albatross,Scalerider,SN1P-SN4P,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,10982.0,Druid
Token Druid,3280,0.5770000000000001,12000,6.3,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,,6924.000000000001,Druid
Mech Paladin,7080,0.5770000000000001,2600,6.4,Crystology,Glow-Tron,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Consecration,Explodinator,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,Gyrocopter,,,,,,,,,,,,,1500.2000000000003,Paladin
Token Druid,4840,0.5770000000000001,110000,6.3,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,63470.00000000001,Druid
Embiggen Druid,6620,0.5770000000000001,4000,6.7,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Bad Luck Albatross,Scalerider,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,2308.0000000000005,Druid
Highlander Hunter,18360,0.5770000000000001,15000,6.9,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Houndmaster Shaw,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,8655.000000000002,Hunter
Token Druid,4840,0.5760000000000001,17000,6.2,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,9792.000000000002,Druid
Highlander Hunter,16080,0.5760000000000001,1300,6.5,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Freezing Trap,Phase Stalker,Rat Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Evasive Feywing,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,748.8000000000001,Hunter
Token Druid,6400,0.5760000000000001,12000,6.4,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,SN1P-SN4P,Garden Gnome,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,6912.000000000001,Druid
Mech Paladin,7240,0.5760000000000001,2600,6.0,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Righteous Cause,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Explodinator,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,1497.6000000000001,Paladin
Mech Paladin,8300,0.5760000000000001,6400,5.9,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Shieldbreaker,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,Octosari,,,,,,,,,,,,,3686.4000000000005,Paladin
Token Druid,4780,0.5760000000000001,3100,6.3,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,1785.6000000000001,Druid
Face Hunter,2160,0.5760000000000001,5500,5.6,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Timber Wolf,Toxic Reinforcements,Bomb Toss,Explosive Trap,Kobold Sandtrooper,Misdirection,Phase Stalker,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,,,3168.0000000000005,Hunter
Highlander Hunter,17020,0.5760000000000001,1100,7.1,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Fresh Scent,Hench-Clan Hogsteed,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Houndmaster,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,633.6,Hunter
Highlander Hunter,16360,0.5760000000000001,4800,6.7,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,2764.8,Hunter
Highlander Hunter,16720,0.5760000000000001,12000,6.8,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,6912.000000000001,Hunter
